uri,total_count,sources
https://soilwise-he.github.io/soil-health#Hexachlorobenzene,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#SoilFunctions,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#SoilFormation,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#SoilFlora,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#PlantCover,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#SoilContamination,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#NitrogenDynamics,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#NutrientUptake,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#VOCs,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Tillage,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#MechanicalProperties,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#SelectedOrganicCompounds,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#ShearStrength,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#HeavyMetals,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#TillageDepth,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Mineralisation,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#SoilManagement,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Trichloroethylene,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Microplastics,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#WaterSaturation,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#WaterRetention,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#WaterStorage,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Soils,4,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#SoilQuality,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#SoilSurveys,4,"gpt-4.1, gpt-4o, keywords, thesauri"
