prefLabel,altLabels,displayName,uri,confidence
climatic requirements,,climatic requirements,http://aims.fao.org/aos/agrovoc/c_1667,0.82
light requirements,,light requirements,http://aims.fao.org/aos/agrovoc/c_25196,0.82
wetlands,,wetlands,http://aims.fao.org/aos/agrovoc/c_8371,0.82
scour hollows,,scour hollows,http://aims.fao.org/aos/agrovoc/c_5cb151c8,0.82
scour marks,,scour marks,http://aims.fao.org/aos/agrovoc/c_aec018e2,0.82
abrasive wear,,abrasive wear,http://aims.fao.org/aos/agrovoc/c_0686781d,0.82
proximate composition,,proximate composition,http://aims.fao.org/aos/agrovoc/c_32803,0.82
sediment,sedimentary deposits,sediment (sedimentary deposits),http://aims.fao.org/aos/agrovoc/c_25341,0.82
geotechnology,geotechnics,geotechnology (geotechnics),http://aims.fao.org/aos/agrovoc/c_71aee624,0.82
excreta,,excreta,http://aims.fao.org/aos/agrovoc/c_2749,0.82
faeces,feces; excrements,"faeces (feces, excrements)",http://aims.fao.org/aos/agrovoc/c_2772,0.82
pollutants,,pollutants,http://aims.fao.org/aos/agrovoc/c_6076,0.82
sewage,,sewage,http://aims.fao.org/aos/agrovoc/c_7007,0.82
edible fungi,mushrooms; mushroom logs,"edible fungi (mushrooms, mushroom logs)",http://aims.fao.org/aos/agrovoc/c_2487,0.82
phytotoxicity,toxicity to plants,phytotoxicity (toxicity to plants),http://aims.fao.org/aos/agrovoc/c_5848,0.82
transpiration ratio,transpiration rate; transpiration efficiency,"transpiration ratio (transpiration rate, transpiration efficiency)",http://aims.fao.org/aos/agrovoc/c_ea7b5b7a,0.82
leaf water potential,,leaf water potential,http://aims.fao.org/aos/agrovoc/c_37242,0.82
xylem water potential,,xylem water potential,http://aims.fao.org/aos/agrovoc/c_37235,0.82
bush encroachment,woody plant encroachment,bush encroachment (woody plant encroachment),http://aims.fao.org/aos/agrovoc/c_bfa0efbf,0.82
grazing systems,grazing management,grazing systems (grazing management),http://aims.fao.org/aos/agrovoc/c_3367,0.82
Clostridium botulinum,,Clostridium botulinum,http://aims.fao.org/aos/agrovoc/c_21492,0.82
Clostridium perfringens,,Clostridium perfringens,http://aims.fao.org/aos/agrovoc/c_32272,0.82
Rhodococcus fascians,Corynebacterium fascians,Rhodococcus fascians (Corynebacterium fascians),http://aims.fao.org/aos/agrovoc/c_34499,0.82
Streptomyces scabies,,Streptomyces scabies,http://aims.fao.org/aos/agrovoc/c_35455,0.82
rainfed farming,,rainfed farming,http://aims.fao.org/aos/agrovoc/c_6436,0.82
companion crops,nurse crops,companion crops (nurse crops),http://aims.fao.org/aos/agrovoc/c_25549,0.82
mixed pastures,,mixed pastures,http://aims.fao.org/aos/agrovoc/c_4876,0.82
selenoproteins,,selenoproteins,http://aims.fao.org/aos/agrovoc/c_b6c2b224,0.82
bismuth,Bi (symbol),bismuth (Bi (symbol)),http://aims.fao.org/aos/agrovoc/c_938,0.82
chemical sediments,chemically precipitated sediments; hydrogenous sediments,"chemical sediments (chemically precipitated sediments, hydrogenous sediments)",http://aims.fao.org/aos/agrovoc/c_3a564e84,0.81
Bacteria,Eubacteria,Bacteria (Eubacteria),http://aims.fao.org/aos/agrovoc/c_765,0.8
rooting,,rooting,http://aims.fao.org/aos/agrovoc/c_6649,0.8
logging wastes,logging residues; waste wood (logging); bark (wastes); wood trimmings,"logging wastes (logging residues, waste wood (logging), bark (wastes), wood trimmings)",http://aims.fao.org/aos/agrovoc/c_24870,0.8
additives,adjuncts,additives (adjuncts),http://aims.fao.org/aos/agrovoc/c_118,0.8
autotrophy,,autotrophy,http://aims.fao.org/aos/agrovoc/c_732b8f9e,0.8
water requirements,,water requirements,http://aims.fao.org/aos/agrovoc/c_8323,0.8
broadcast fertilization,,broadcast fertilization,http://aims.fao.org/aos/agrovoc/c_27889,0.8
fertilizer drilling,,fertilizer drilling,http://aims.fao.org/aos/agrovoc/c_2385,0.8
cohesive sediments,,cohesive sediments,http://aims.fao.org/aos/agrovoc/c_ea015d99,0.8
climatic factors,continentality,climatic factors (continentality),http://aims.fao.org/aos/agrovoc/c_29554,0.8
litter for animals,bedding litter; animal litter; poultry litter; bedding,"litter for animals (bedding litter, animal litter, poultry litter, bedding)",http://aims.fao.org/aos/agrovoc/c_434,0.8
flood control,,flood control,http://aims.fao.org/aos/agrovoc/c_2976,0.8
fluvial morphology,river morphology,fluvial morphology (river morphology),http://aims.fao.org/aos/agrovoc/c_b2f1cf72,0.8
weather control,,weather control,http://aims.fao.org/aos/agrovoc/c_8339,0.8
carbonate rocks,,carbonate rocks,http://aims.fao.org/aos/agrovoc/c_3a8b412c,0.8
irrigation systems,irrigation networks; irrigation ditches,"irrigation systems (irrigation networks, irrigation ditches)",http://aims.fao.org/aos/agrovoc/c_25332,0.8
land levelling equipment,land levellers,land levelling equipment (land levellers),http://aims.fao.org/aos/agrovoc/c_37266,0.8
transpiration,normal water loss (of plants); plant transpiration,"transpiration (normal water loss (of plants), plant transpiration)",http://aims.fao.org/aos/agrovoc/c_7871,0.8
salinity charts,,salinity charts,http://aims.fao.org/aos/agrovoc/c_f7049911,0.8
ph sensors,,ph sensors,http://aims.fao.org/aos/agrovoc/c_32395381,0.8
browsing damage,,browsing damage,http://aims.fao.org/aos/agrovoc/c_1119,0.8
fertilizer pesticide combinations,,fertilizer pesticide combinations,http://aims.fao.org/aos/agrovoc/c_27894,0.8
Mycobacterium,,Mycobacterium,http://aims.fao.org/aos/agrovoc/c_5018,0.8
Clostridium chauvoei,,Clostridium chauvoei,http://aims.fao.org/aos/agrovoc/c_16390,0.8
salinity tables,,salinity tables,http://aims.fao.org/aos/agrovoc/c_84d06d34,0.8
acids,,acids,http://aims.fao.org/aos/agrovoc/c_92,0.8
forestry operations,forestry practices,forestry operations (forestry practices),http://aims.fao.org/aos/agrovoc/c_3059,0.8
chlorine,Cl (symbol),chlorine (Cl (symbol)),http://aims.fao.org/aos/agrovoc/c_1568,0.8
magnesium chloride,,magnesium chloride,http://aims.fao.org/aos/agrovoc/c_24047,0.8
upland crops,,upland crops,http://aims.fao.org/aos/agrovoc/c_8075,0.8
algicides,,algicides,http://aims.fao.org/aos/agrovoc/c_260,0.8
lead,Pb (symbol),lead (Pb (symbol)),http://aims.fao.org/aos/agrovoc/c_4235,0.8
EDTA,ethylenediaminetetraacetic acid,EDTA (ethylenediaminetetraacetic acid),http://aims.fao.org/aos/agrovoc/c_10540,0.8
chelates,,chelates,http://aims.fao.org/aos/agrovoc/c_37641,0.8
tungsten,W (symbol),tungsten (W (symbol)),http://aims.fao.org/aos/agrovoc/c_8006,0.79
nitrilotriacetic acid,,nitrilotriacetic acid,http://aims.fao.org/aos/agrovoc/c_37539,0.79
land cover,,land cover,http://aims.fao.org/aos/agrovoc/c_37897,0.78
minerals,,minerals,http://aims.fao.org/aos/agrovoc/c_4857,0.78
spatial units,,spatial units,http://aims.fao.org/aos/agrovoc/c_9df6243d,0.78
chemical composition,chemical concentration,chemical composition (chemical concentration),http://aims.fao.org/aos/agrovoc/c_1794,0.78
slash,,slash,http://aims.fao.org/aos/agrovoc/c_28152,0.78
carbon dioxide enrichment,elevated CO2 concentration,carbon dioxide enrichment (elevated CO2 concentration),http://aims.fao.org/aos/agrovoc/c_35921,0.78
ethylene production,,ethylene production,http://aims.fao.org/aos/agrovoc/c_33984,0.78
land clearing,land clearance,land clearing (land clearance),http://aims.fao.org/aos/agrovoc/c_1662,0.78
fishmeal,fish meal,fishmeal (fish meal),http://aims.fao.org/aos/agrovoc/c_2925,0.78
cropping systems,cultivation systems; crop systems,"cropping systems (cultivation systems, crop systems)",http://aims.fao.org/aos/agrovoc/c_1971,0.78
silicon,Si (symbol),silicon (Si (symbol)),http://aims.fao.org/aos/agrovoc/c_7061,0.78
basal dressings,,basal dressings,http://aims.fao.org/aos/agrovoc/c_831,0.78
