prefLabel,altLabels,displayName,uri,confidence
deep litter manure,,deep litter manure,http://aims.fao.org/aos/agrovoc/c_dee95ab8,N/A
fresh solid manure,,fresh solid manure,http://aims.fao.org/aos/agrovoc/c_c14a587a,N/A
horse manure,,horse manure,http://aims.fao.org/aos/agrovoc/c_3f55470f,N/A
nitrogen mineralization,,nitrogen mineralization,http://aims.fao.org/aos/agrovoc/c_36243,N/A
Actinomycetales,Actinomycetes,Actinomycetales (Actinomycetes),http://aims.fao.org/aos/agrovoc/c_112,N/A
Azotobacter,,Azotobacter,http://aims.fao.org/aos/agrovoc/c_752,N/A
Clostridium,,Clostridium,http://aims.fao.org/aos/agrovoc/c_1680,N/A
Rhizobium,,Rhizobium,http://aims.fao.org/aos/agrovoc/c_6563,N/A
Rhodospirillum,,Rhodospirillum,http://aims.fao.org/aos/agrovoc/c_27599,N/A
root nodulation,nodulation,root nodulation (nodulation),http://aims.fao.org/aos/agrovoc/c_6643,N/A
carbonate rocks,,carbonate rocks,http://aims.fao.org/aos/agrovoc/c_3a8b412c,N/A
particle size,grain size,particle size (grain size),http://aims.fao.org/aos/agrovoc/c_5601,N/A
soil penetration resistance,,soil penetration resistance,http://aims.fao.org/aos/agrovoc/c_d79c08d8,N/A
green water,,green water,http://aims.fao.org/aos/agrovoc/c_5867fbf1,N/A
lysimeters,,lysimeters,http://aims.fao.org/aos/agrovoc/c_4486,N/A
Gleysols,,Gleysols,http://aims.fao.org/aos/agrovoc/c_3276,N/A
hygroscopicity,water retention,hygroscopicity (water retention),http://aims.fao.org/aos/agrovoc/c_28410,N/A
cover plants,ground cover plants; cover crops,"cover plants (ground cover plants, cover crops)",http://aims.fao.org/aos/agrovoc/c_1936,N/A
dung water,,dung water,http://aims.fao.org/aos/agrovoc/c_1746ded8,N/A
peatlands,,peatlands,http://aims.fao.org/aos/agrovoc/c_13929,N/A
aluminium mulches,,aluminium mulches,http://aims.fao.org/aos/agrovoc/c_207ace25,N/A
gravel mulches,,gravel mulches,http://aims.fao.org/aos/agrovoc/c_11342,N/A
plastic mulches,,plastic mulches,http://aims.fao.org/aos/agrovoc/c_13452,N/A
soil mulches,,soil mulches,http://aims.fao.org/aos/agrovoc/c_14397,N/A
hoeing,,hoeing,http://aims.fao.org/aos/agrovoc/c_3642,N/A
