prefLabel,altLabels,displayName,uri,baseline_origin
soil biology,,soil biology,http://aims.fao.org/aos/agrovoc/c_7160,DIRECT_LABEL_MATCH
soil breaking,,soil breaking,http://aims.fao.org/aos/agrovoc/c_25707,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil chemicophysical properties,soil physical properties; soil physicochemical properties,"soil chemicophysical properties (soil physical properties, soil physicochemical properties)",http://aims.fao.org/aos/agrovoc/c_7182,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil chemistry,,soil chemistry,http://aims.fao.org/aos/agrovoc/c_7161,DIRECT_LABEL_MATCH
soil classification,soil taxonomy,soil classification (soil taxonomy),http://aims.fao.org/aos/agrovoc/c_7162,DIRECT_LABEL_MATCH
soil clods,,soil clods,http://aims.fao.org/aos/agrovoc/c_34900,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil compaction,,soil compaction,http://aims.fao.org/aos/agrovoc/c_7163,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil conditioners,,soil conditioners,http://aims.fao.org/aos/agrovoc/c_7164,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil conservation,,soil conservation,http://aims.fao.org/aos/agrovoc/c_7165,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil conservation legislation,,soil conservation legislation,http://aims.fao.org/aos/agrovoc/c_0a2f9038,DIRECT_LABEL_MATCH
soil consistence,,soil consistence,http://aims.fao.org/aos/agrovoc/c_0640b006,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil cracking,,soil cracking,http://aims.fao.org/aos/agrovoc/c_32597,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil crusts,,soil crusts,http://aims.fao.org/aos/agrovoc/c_26766,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil deficiencies,soil mineral deficiencies; soil nutrient deficiencies,"soil deficiencies (soil mineral deficiencies, soil nutrient deficiencies)",http://aims.fao.org/aos/agrovoc/c_7166,DIRECT_LABEL_MATCH
soil degradation,soil deterioration,soil degradation (soil deterioration),http://aims.fao.org/aos/agrovoc/c_7168,DIRECT_LABEL_MATCH
soil density,aggregate density (soil); bulk density (soil); particle density (soil),"soil density (aggregate density (soil), bulk density (soil), particle density (soil))",http://aims.fao.org/aos/agrovoc/c_7167,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil depth,,soil depth,http://aims.fao.org/aos/agrovoc/c_0c184d6f,DIRECT_LABEL_MATCH
soil disinfection,soil disinfestation,soil disinfection (soil disinfestation),http://aims.fao.org/aos/agrovoc/c_25830,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil dynamics,,soil dynamics,http://aims.fao.org/aos/agrovoc/c_25080,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil erosion models,,soil erosion models,http://aims.fao.org/aos/agrovoc/c_331058,DIRECT_LABEL_MATCH
soil exhaustion,soil depletion,soil exhaustion (soil depletion),http://aims.fao.org/aos/agrovoc/c_26857,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil exposure types,,soil exposure types,http://aims.fao.org/aos/agrovoc/c_378b6841,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil fauna,,soil fauna,http://aims.fao.org/aos/agrovoc/c_7169,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil fertility,nutrient status (soil); soil nutrient balance; soil nutrient content; soil productivity,"soil fertility (nutrient status (soil), soil nutrient balance, soil nutrient content, soil productivity)",http://aims.fao.org/aos/agrovoc/c_7170,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil flora,,soil flora,http://aims.fao.org/aos/agrovoc/c_7172,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil fumigation,,soil fumigation,http://aims.fao.org/aos/agrovoc/c_34236,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil functions,,soil functions,http://aims.fao.org/aos/agrovoc/c_e5629cbd,DIRECT_LABEL_MATCH
soil fungi,,soil fungi,http://aims.fao.org/aos/agrovoc/c_33550,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil genesis,soil formation,soil genesis (soil formation),http://aims.fao.org/aos/agrovoc/c_7173,DIRECT_LABEL_MATCH
soil heating,,soil heating,http://aims.fao.org/aos/agrovoc/c_7174,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil horizons,,soil horizons,http://aims.fao.org/aos/agrovoc/c_32749,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil hydraulic properties,hydraulic head; pressure head (soil),"soil hydraulic properties (hydraulic head, pressure head (soil))",http://aims.fao.org/aos/agrovoc/c_34125,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil hydrology,,soil hydrology,http://aims.fao.org/aos/agrovoc/c_79e2033c,DIRECT_LABEL_MATCH
soil improvement,,soil improvement,http://aims.fao.org/aos/agrovoc/c_36315,DIRECT_LABEL_MATCH
soil information,,soil information,http://aims.fao.org/aos/agrovoc/c_109db1c5,DIRECT_LABEL_MATCH
soil injection,,soil injection,http://aims.fao.org/aos/agrovoc/c_7175,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil injectors,,soil injectors,http://aims.fao.org/aos/agrovoc/c_26094,DIRECT_LABEL_MATCH
soil inoculation,,soil inoculation,http://aims.fao.org/aos/agrovoc/c_14396,DIRECT_LABEL_MATCH
soil investigations,,soil investigations,http://aims.fao.org/aos/agrovoc/c_8595c402,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil landscapes,,soil landscapes,http://aims.fao.org/aos/agrovoc/c_714b2285,DIRECT_LABEL_MATCH
soil loss,soil denudation,soil loss (soil denudation),http://aims.fao.org/aos/agrovoc/c_8dab65bc,DIRECT_LABEL_MATCH
soil macropores,,soil macropores,http://aims.fao.org/aos/agrovoc/c_35318,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil management,,soil management,http://aims.fao.org/aos/agrovoc/c_7176,DIRECT_LABEL_MATCH
soil management equipment,,soil management equipment,http://aims.fao.org/aos/agrovoc/c_25757,DIRECT_LABEL_MATCH
soil maps,,soil maps,http://aims.fao.org/aos/agrovoc/c_e6171c3e,DIRECT_LABEL_MATCH
soil mechanical properties,,soil mechanical properties,http://aims.fao.org/aos/agrovoc/c_8c9575f3,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil mechanics,,soil mechanics,http://aims.fao.org/aos/agrovoc/c_7177,DIRECT_LABEL_MATCH
soil micromorphological features,,soil micromorphological features,http://aims.fao.org/aos/agrovoc/c_26827,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil microorganisms,soil microbiota; soil microfauna; soil microflora,"soil microorganisms (soil microbiota, soil microfauna, soil microflora)",http://aims.fao.org/aos/agrovoc/c_36167,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil micropores,,soil micropores,http://aims.fao.org/aos/agrovoc/c_35319,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
