identifier,label,uri,class
https://soilwise-he.github.io/soil-health#DryCleaning,dry cleaning,http://www.eionet.europa.eu/gemet/concept/2358,
https://soilwise-he.github.io/soil-health#Podzols,Podzols,http://aims.fao.org/aos/agrovoc/c_6044,
https://soilwise-he.github.io/soil-health#Mites,mites,http://aims.fao.org/aos/agrovoc/c_d1532eb7,
https://soilwise-he.github.io/soil-health#Farmers,farmers,http://aims.fao.org/aos/agrovoc/c_2805,
https://soilwise-he.github.io/soil-health#Action,action,,
https://soilwise-he.github.io/soil-health#OrganicManagement,organic management,,
https://soilwise-he.github.io/soil-health#HeavyRainfall,heavy rainfall,,
https://soilwise-he.github.io/soil-health#NitrogenAvailability,nitrogen availability,http://opendata.inrae.fr/thesaurusINRAE/c_2417,
https://soilwise-he.github.io/soil-health#Crops,crops,http://aims.fao.org/aos/agrovoc/c_1972,
https://soilwise-he.github.io/soil-health#SoilNutrientAccumulation,soil nutrient accumulation,,
https://soilwise-he.github.io/soil-health#AdjacentProperties,adjacent properties,,
https://soilwise-he.github.io/soil-health#Bioturbation,bioturbation,http://aims.fao.org/aos/agrovoc/c_a3354940,
https://soilwise-he.github.io/soil-health#SoilBiota,soil biota,http://opendata.inrae.fr/thesaurusINRAE/c_5825,
https://soilwise-he.github.io/soil-health#Field,field,http://opendata.inrae.fr/thesaurusINRAE/c_1679,
https://soilwise-he.github.io/soil-health#SoilPorosity,soil porosity,http://aims.fao.org/aos/agrovoc/c_35320,
https://soilwise-he.github.io/soil-health#NitrogenDynamics,nitrogen dynamics,http://opendata.inrae.fr/thesaurusINRAE/c_15661,
https://soilwise-he.github.io/soil-health#Collembola,collembola,http://aims.fao.org/aos/agrovoc/c_1759,
https://soilwise-he.github.io/soil-health#CDynamics,C dynamics,,
https://soilwise-he.github.io/soil-health#SoilFlora,soil flora,http://aims.fao.org/aos/agrovoc/c_7172,
https://soilwise-he.github.io/soil-health#GasExchange,gas exchange,http://aims.fao.org/aos/agrovoc/c_11098,
https://soilwise-he.github.io/soil-health#SoilNitrogen,soil nitrogen,http://opendata.inrae.fr/thesaurusINRAE/c_13527,
https://soilwise-he.github.io/soil-health#Food,food,http://www.eionet.europa.eu/gemet/concept/3354,
https://soilwise-he.github.io/soil-health#VOCs,volatile organic compounds,,
https://soilwise-he.github.io/soil-health#Tillage,tillage,http://aims.fao.org/aos/agrovoc/c_7771,
https://soilwise-he.github.io/soil-health#Stratification,stratification,http://aims.fao.org/aos/agrovoc/c_2d2ea4aa,
https://soilwise-he.github.io/soil-health#Intensity,intensity,,
https://soilwise-he.github.io/soil-health#Chlorophyll,chlorophyll,http://opendata.inrae.fr/thesaurusINRAE/c_8416,
https://soilwise-he.github.io/soil-health#HeavyMetalStorage,heavy metal storage,,
https://soilwise-he.github.io/soil-health#AnimalTrampling,animal trampling,,
https://soilwise-he.github.io/soil-health#ForestLand,forest land,http://aims.fao.org/aos/agrovoc/c_24843,
https://soilwise-he.github.io/soil-health#ShearStrength,shear strength,http://aims.fao.org/aos/agrovoc/c_9d2ec51c,
https://soilwise-he.github.io/soil-health#SoilNutrients,soil nutrients,,
https://soilwise-he.github.io/soil-health#MicrobialCommunityStructure,microbial community structure,,
https://soilwise-he.github.io/soil-health#BulkSoils,bulk soils,,
https://soilwise-he.github.io/soil-health#SaturatedHydraulicConductivity,saturated hydraulic conductivity,,
https://soilwise-he.github.io/soil-health#Size,size,http://aims.fao.org/aos/agrovoc/c_7093,
https://soilwise-he.github.io/soil-health#Abundance,abundance,http://aims.fao.org/aos/agrovoc/c_da20e6b6,
https://soilwise-he.github.io/soil-health#Earthworms,earthworms,http://aims.fao.org/aos/agrovoc/c_29109,
https://soilwise-he.github.io/soil-health#ShearEffects,shear effects,,
